iter	RMSE
185	12.29008944
186	12.26152832
187	12.23175122
188	12.19903163
189	12.18030414
190	12.13310276
191	12.12606384
192	12.08162677
193	12.05364884
194	12.02251548
195	11.97610563
196	11.95420531
197	11.93892065
198	11.91932243
199	11.8837005
200	11.86373314
201	11.83518557
202	11.82177253
203	11.76902346
204	11.75499425
205	11.73532277
206	11.69422975
207	11.66340969
208	11.61338356
209	11.5742428
210	11.56273552
211	11.50831161
212	11.47450932
213	11.46462144
214	11.449987
215	11.41965675
216	11.36518483
217	11.30600755
218	11.28990498
219	11.27765489
220	11.26912422
221	11.26024471
222	11.22430402
223	11.17497308
224	11.16287525
225	11.12605695
226	11.06000467
227	11.00320935
228	10.99353038
229	10.95709595
230	10.9462053
231	10.91107895
232	10.8727824
233	10.80945527
234	10.80099306
235	10.76851841
236	10.76044371
237	10.70092893
238	10.69082119
239	10.68296318
240	10.6308275
241	10.58188411
242	10.56796192
243	10.51751032
244	10.46488426
245	10.4123892
246	10.40476065
247	10.3954447
248	10.3485225
249	10.33543404
250	10.32855275
251	10.29517894
252	10.26277905
253	10.23326933
254	10.22532058
255	10.19256114
256	10.16033035
257	10.11625654
258	10.10823435
259	10.08325718
260	10.07542004
261	10.0460593
262	10.0317107
263	10.00364272
264	9.972679184
265	9.955488188
266	9.936482071
267	9.909668494
268	9.878422496
269	9.857186509
270	9.83509139
271	9.806294488
272	9.776351256
273	9.756285002
274	9.740531138
275	9.733193394
276	9.706829073
277	9.649018972
278	9.622684425
279	9.616447891
280	9.605129836
281	9.591819578
282	9.581147168
283	9.555275775
284	9.530454873
285	9.475341635
286	9.464837309
287	9.433517389
288	9.427308882
289	9.403864391
290	9.391753007
291	9.339130962
292	9.288392982
293	9.268755011
294	9.227605211
295	9.20399324
296	9.193107316
297	9.180481979
298	9.161555351
299	9.113825101
300	9.09247106
301	9.083256022
302	9.062764928
303	9.052680583
304	9.037558876
305	8.998497644
306	8.989756387
307	8.971997593
308	8.91869145
309	8.900923575
310	8.892470599
311	8.866206108
312	8.815075559
313	8.796181375
314	8.760366039
315	8.71669928
316	8.707971051
317	8.691375109
318	8.65735853
319	8.617732428
320	8.579719469
321	8.55148085
322	8.542944651
323	8.528579911
324	8.512889774
325	8.497728687
326	8.4754755
327	8.455057449
328	8.440461473
329	8.427438671
330	8.40527902
331	8.395781114
332	8.363451467
333	8.355237271
334	8.321260672
335	8.310669315
336	8.30322713
337	8.270502484
338	8.242674252
339	8.214309587
340	8.210185922
341	8.183186946
342	8.172306815
343	8.150205968
344	8.120619869
345	8.085461765
346	8.076170964
347	8.067498653
348	8.057916395
349	8.019389439
350	7.979715568
351	7.974408869
352	7.963324726
353	7.945067207
354	7.912204143
355	7.905910912
356	7.900426096
357	7.8624085
358	7.853991842
359	7.847605893
360	7.818447611
361	7.81036947
362	7.773910235
363	7.733581603
364	7.716414481
365	7.704953754
366	7.687010954
367	7.683525251
368	7.680123959
369	7.648055453
370	7.64325567
371	7.620224045
372	7.593216281
373	7.555365502
374	7.552092858
375	7.515392403
376	7.495466034
377	7.473005888
378	7.44765566
379	7.428682492
380	7.393501457
381	7.372098231
382	7.363976956
383	7.342908813
384	7.325905476
385	7.315995586
386	7.291978459
387	7.275491728
388	7.266610888
389	7.257695718
390	7.243179111
391	7.209521617
392	7.20239433
393	7.194478536
394	7.161844011
395	7.15696375
396	7.136534671
397	7.104905423
398	7.089822804
399	7.066720235
400	7.052171682
401	7.043095188
402	7.034838942
403	7.012670182
404	7.00817325
405	6.989997373
406	6.972982929
407	6.966830722
408	6.948835265
409	6.944548745
410	6.93578722
411	6.9207628
412	6.901369531
413	6.896816333
414	6.89363102
415	6.889251688
416	6.86414963
417	6.848063178
418	6.836878881
419	6.820701007
420	6.814205572
421	6.797815931
422	6.791556441
423	6.784982602
424	6.767948489
425	6.752300623
426	6.732433841
427	6.701565501
428	6.697011857
429	6.668844552
430	6.662369451
431	6.649927265
432	6.643487288
433	6.639187904
434	6.63358255
435	6.60678058
436	6.590269394
437	6.586768001
438	6.580883553
439	6.566447549
440	6.550907172
441	6.547843384
442	6.544079152
443	6.532668041
444	6.502729988
445	6.480240446
446	6.448683436
447	6.431405888
448	6.411356093
449	6.39782214
450	6.390032912
451	6.376033103
452	6.348051663
453	6.331122176
454	6.316241993
455	6.305062566
456	6.2926263
457	6.276143518
458	6.272267638
459	6.258500104
460	6.251634485
461	6.226738531
462	6.21540435
463	6.212970198
464	6.19684506
465	6.188914876
466	6.1566969
467	6.15195507
468	6.147653704
469	6.132031234
470	6.129719187
471	6.126751715
472	6.110921149
473	6.103619525
474	6.101085037
475	6.094072217
476	6.078615392
477	6.058035959
478	6.051626995
479	6.039980545
480	6.036870587
481	6.030485614
482	6.027361158
483	6.006579857
484	5.995966445
485	5.980814506
486	5.957980923
487	5.943213138
488	5.939376803
489	5.930314604
490	5.915929207
491	5.901760683
492	5.880467106
493	5.86537806
494	5.855176418
495	5.835101198
496	5.82607629
497	5.812186487
498	5.798610095
499	5.795531844
500	5.782565437
501	5.773793165
502	5.763067702
503	5.73499185
504	5.726693145
505	5.710910617
506	5.702584648
507	5.683057206
508	5.679754256
509	5.674552304
510	5.647794142
511	5.636395866
512	5.626492438
513	5.613636804
514	5.605895601
515	5.601895969
516	5.59055953
517	5.587502808
518	5.576992765
519	5.567933824
520	5.538301101
521	5.53140232
522	5.526813271
523	5.523131528
524	5.518456094
525	5.514035112
526	5.511837354
527	5.499418536
528	5.487088779
529	5.482998028
530	5.479033452
531	5.476685817
532	5.473984531
533	5.445251492
534	5.435236396
535	5.428478693
536	5.417808612
537	5.397962017
538	5.388817111
539	5.372054711
540	5.360634119
541	5.34866748
542	5.346250185
543	5.338447305
544	5.321673867
545	5.309973665
546	5.307831904
547	5.299920108
548	5.291855842
549	5.285546078
550	5.278990246
551	5.274801333
552	5.247501504
553	5.238080581
554	5.22115325
555	5.201009247
556	5.177966871
557	5.157060068
558	5.151205369
559	5.14304914
560	5.137516816
561	5.134860434
562	5.133124415
563	5.121565957
564	5.09586399
565	5.080187626
566	5.078023468
567	5.065982555
568	5.059289032
569	5.052534049
570	5.045624749
571	5.037139801
572	5.022737852
573	5.011613068
574	5.006625443
575	4.99134894
576	4.966733266
577	4.955395856
578	4.942965191
579	4.941223753
580	4.926862444
581	4.9057679
582	4.903776338
583	4.900150804
584	4.894563183
585	4.876350082
586	4.853250047
587	4.847457814
588	4.830442357
589	4.821959009
590	4.820251587
591	4.815373135
592	4.791877894
593	4.790103214
594	4.78832816
595	4.773569069
596	4.771585013
597	4.766892007
598	4.750712502
599	4.747362776
600	4.740978883
601	4.734214602
602	4.724266425
603	4.722661055
604	4.713138985
605	4.711595688
606	4.707235243
607	4.691106206
608	4.681536646
609	4.676460345
610	4.66037736
611	4.644359861
612	4.635420742
613	4.629925469
614	4.615377941
615	4.613908721
616	4.608683487
617	4.606742636
618	4.596119148
619	4.575086306
620	4.573128523
621	4.559669043
622	4.558267951
623	4.546076405
624	4.530414123
625	4.52729839
626	4.519022762
627	4.51057268
628	4.500737894
629	4.496556275
630	4.49102606
631	4.474411792
632	4.454736701
633	4.442113735
634	4.432153363
635	4.412631356
636	4.406906488
637	4.401332419
638	4.386505091
639	4.384863483
640	4.380943338
641	4.361673214
642	4.35619611
643	4.344565078
644	4.33866869
645	4.330168893
646	4.328635696
647	4.32153229
648	4.310431459
649	4.299487755
650	4.298241884
651	4.296778509
652	4.287314364
653	4.281950698
654	4.273920416
655	4.265592136
656	4.251629417
657	4.239082376
658	4.223450312
659	4.221152047
660	4.203148901
661	4.197412286
662	4.18071927
663	4.166292463
664	4.157027894
665	4.146170254
666	4.136745668
667	4.122910138
668	4.109350965
669	4.101771067
670	4.094998679
671	4.088626968
672	4.078402511
673	4.077196386
674	4.076146657
675	4.074839591
676	4.061642958
677	4.054149386
678	4.038222296
679	4.035314515
680	4.029679866
681	4.015929666
682	4.014557525
683	4.013306319
684	4.011111894
685	3.999541038
686	3.989281528
687	3.971380807
688	3.959944885
689	3.945125593
690	3.944172534
691	3.940469606
692	3.925890253
693	3.913853026
694	3.912909633
695	3.90562652
696	3.904720801
697	3.897898741
698	3.890525233
699	3.887811364
700	3.880648883
701	3.877196346
702	3.861290859
703	3.8543948
704	3.844913275
705	3.836871935
706	3.82308726
707	3.814265248
708	3.806814706
709	3.805888828
710	3.796410913
711	3.790010481
712	3.782329216
713	3.778440104
714	3.77297834
715	3.772098881
716	3.769852465
717	3.763626023
718	3.762461927
719	3.758620984
720	3.752938179
721	3.748418622
722	3.740082031
723	3.736000194
724	3.7225964
725	3.717606092
726	3.712550068
727	3.70882695
728	3.698959657
729	3.697876314
730	3.684478691
731	3.672799274
732	3.669194787
733	3.668157369
734	3.65756052
735	3.65246048
736	3.65164647
737	3.646287166
738	3.640534661
739	3.639853814
740	3.629543849
741	3.624766029
742	3.623971961
743	3.623266028
744	3.61667069
745	3.613387042
746	3.603334117
747	3.598224226
748	3.595754553
749	3.583454778
750	3.578005872
751	3.56627791
752	3.560536809
753	3.554792971
754	3.548628741
755	3.543694185
756	3.539259706
757	3.53622388
758	3.531934349
759	3.529097223
760	3.522599905
761	3.519673878
762	3.509849092
763	3.50777663
764	3.503009146
765	3.497151828
766	3.494334668
767	3.487662624
768	3.481794428
769	3.481142299
770	3.479278849
771	3.475350272
772	3.474711423
773	3.470334383
774	3.46950094
775	3.465220178
776	3.460318715
777	3.454986102
778	3.449816184
779	3.442267168
780	3.439135515
781	3.435769734
782	3.428068921
783	3.422276358
784	3.411546496
785	3.405887711
786	3.401522817
787	3.396764308
788	3.392017343
789	3.387321362
790	3.384585335
791	3.379789453
792	3.379073522
793	3.369907183
794	3.365201321
795	3.361016218
796	3.350216203
797	3.346599234
798	3.340450928
799	3.335738447
800	3.330822258
801	3.329259644
802	3.322481689
803	3.314066178
804	3.312449929
805	3.301454973
806	3.290626653
807	3.28160409
808	3.277857173
809	3.270284473
810	3.269745749
811	3.264051019
812	3.257552644
813	3.251610305
814	3.249789267
815	3.243633523
816	3.239102726
817	3.233847716
818	3.229913551
819	3.226428089
820	3.222253123
821	3.221780513
822	3.218399708
823	3.214834643
824	3.211945132
825	3.205641607
826	3.203760381
827	3.198672138
828	3.191058089
829	3.180208516
830	3.175275918
831	3.173294593
832	3.168214514
833	3.160141399
834	3.159528366
835	3.156055373
836	3.152891875
837	3.146950614
838	3.146464617
839	3.13812294
840	3.131590985
841	3.13116325
842	3.127981739
843	3.119580362
844	3.115855353
845	3.111270398
846	3.107125937
847	3.103847949
848	3.100221024
849	3.098221124
850	3.097827281
851	3.094340928
852	3.091392513
853	3.090132001
854	3.086610954
855	3.077478107
856	3.073570782
857	3.069477941
858	3.069075814
859	3.064261766
860	3.061994476
861	3.058570775
862	3.057332861
863	3.052834107
864	3.048967355
865	3.04532384
866	3.041520314
867	3.039050881
868	3.027841983
869	3.024351423
870	3.019568804
871	3.01127024
872	3.004820843
873	3.001279174
874	2.999318999
875	2.988749219
876	2.979392363
877	2.976631751
878	2.967383591
879	2.964071086
880	2.962980877
881	2.962599036
882	2.953206556
883	2.950788174
884	2.95041628
885	2.948646403
886	2.945389254
887	2.939950669
888	2.932405548
889	2.924404043
890	2.922517653
891	2.918735525
892	2.917562484
893	2.911488776
894	2.90640791
895	2.903807083
896	2.901223415
897	2.895571554
898	2.894338353
899	2.891324877
900	2.887324344
901	2.885951557
902	2.87883452
903	2.876917928
904	2.873120904
905	2.869772724
906	2.862288849
907	2.854042753
908	2.851089187
909	2.847668005
910	2.839441275
911	2.836691025
912	2.829707107
913	2.827641804
914	2.824490756
915	2.82140407
916	2.819288207
917	2.814505302
918	2.806829502
919	2.802982305
920	2.797397844
921	2.791017167
922	2.786139643
923	2.783529904
924	2.780732188
925	2.777474651
926	2.774698137
927	2.766345721
928	2.76326726
929	2.758764472
930	2.758456626
931	2.758156002
932	2.756856969
933	2.754886324
934	2.749740024
935	2.749190562
936	2.741881715
937	2.735025946
938	2.732895779
939	2.726508782
940	2.724265634
941	2.724053717
942	2.723769959
943	2.721046765
944	2.715987004
945	2.713117472
946	2.70936396
947	2.705567198
948	2.698693306
949	2.693992066
950	2.691308156
951	2.684846294
952	2.682474103
953	2.676504739
954	2.66994284
955	2.666809326
956	2.663911117
957	2.66122578
958	2.657369228
959	2.655685186
960	2.654298007
961	2.650252025
962	2.649992034
963	2.647406167
964	2.645564036
965	2.64508192
966	2.642448134
967	2.636520968
968	2.633863215
969	2.626283662
970	2.624210213
971	2.617701048
972	2.612917717
973	2.611723065
974	2.608950241
975	2.606162228
976	2.602735834
977	2.598879993
978	2.594505854
979	2.589227812
980	2.586229026
981	2.579774329
982	2.578460041
983	2.574267573
984	2.572902765
985	2.572661594
986	2.565685416
987	2.563024258
988	2.560760735
989	2.555899033
990	2.554405037
991	2.551937006
992	2.551669148
993	2.54917332
994	2.546527298
995	2.543945016
996	2.5414057
997	2.538329309
998	2.538070203
999	2.536758651
884
9	2.678028976
